tail,head,uberPos,uberNeg
s0,a_syn_0,none,none
s1,mis_a_syn_0,none,none
s3,scarb2_gba_golgi_0,none,none
s4,glucosylceramide_0,none,none
s5,lamp2_0,none,none
a_syn_proto_0,e0,none,none
glucose_0,e1,none,none
ceramide_0,e2,none,none
a_syn_proto_1,e3,none,none
scarb2_0,e4,none,none
gba_0,e5,none,none
mis_a_syn_0,mis_a_syn_1,lamp2_0,none
a_syn_0,a_syn_1,lamp2_0,mutant_a_syn_0
a_syn_0,a_syn_proto_0,lrrk2_0 mutant_a_syn_0 mutant_lrrk2_0,none
lamp2_0,cma_0,none,a_syn_proto_0
a_syn_1,clearance_0,cma_0 gba_0,glucosylceramide_0
mis_a_syn_1,clearance_0,cma_0 gba_0,glucosylceramide_0
a_syn_1,a_syn_2,none,none
a_syn_2,a_syn_proto_1,none,none
scarb2_gba_golgi_0,scarb2_golgi_0,none,a_syn_proto_1
scarb2_golgi_0,scarb2_0 gba_0,none,none
glucosylceramide_0,glucose_0 ceramide_0,gba_0,none
s6,mutant_a_syn_0,none,none
mutant_a_syn_0,e6,none,none
s7,lrrk2_0,none,none
lrrk2_0,e7,none,none
s8,mutant_lrrk2_0,none,none
mutant_lrrk2_0,e8,none,none
